	6*6	4*9	6*6	4*9		
6	2,14E-05	0		2,14E-05		
7	0,000150034	0		0,000128601		
8	0,000600137	0		0,000450103		
9	0,001800412	3,81E-06	3,81E-06	0,001200274	2,29E-09	
10	0,004501029	3,81E-05	3,43E-05	0,002700617	6,18E-08	
11	0,009902263	0,000209808	0,000171661	0,005401235	7,73E-07	
12	0,019675926	0,000839233	0,000629425	0,009773663	6,23E-06	
13	0,03587963	0,002693176	0,001853943	0,016203704	3,65E-05	
14	0,060763889	0,007293701	0,004600525	0,024884259	1,65E-04	
15	0,096472051	0,017204285	0,009910583	0,035708162	6,02E-04	
16	0,144633059	0,036087036	0,018882751	0,048161008	1,82E-03	
17	0,205847051	0,068325043	0,032238007	0,061213992	4,66E-03	
18	0,279385288	0,118110657	0,049785614	0,073538237	1,02E-02	
19	0,363104424	0,188114166	0,07000351	0,083719136	1,96E-02	
20	0,453575103	0,278167725	0,090053558	0,090470679	3,27E-02	
21	0,546424897	0,384506226	0,106338501	0,092849794	4,82E-02	
22	0,636895576	0,5	0,115493774	0,090470679	6,31E-02	
23	0,720614712	0,615493774	0,115493774	0,083719136	7,36E-02	
24	0,794152949	0,721832275	0,106338501	0,073538237	7,66E-02	
25	0,855366941	0,811885834	0,090053558	0,061213992	7,15E-02	
26	0,903527949	0,881889343	0,07000351	0,048161008	5,99E-02	
27	0,939236111	0,931674957	0,049785614	0,035708162	4,50E-02	
28	0,96412037	0,963912964	0,032238007	0,024884259	3,03E-02	
29	0,980324074	0,982795715	0,018882751	0,016203704	1,82E-02	
30	0,990097737	0,992706299	0,009910583	0,009773663	9,72E-03	
31	0,995498971	0,997306824	0,004600525	0,005401235	4,55E-03	
32	0,998199588	0,999160767	0,001853943	0,002700617	1,85E-03	
33	0,999399863	0,999790192	0,000629425	0,001200274	6,28E-04	
34	0,999849966	0,999961853	0,000171661	0,000450103	1,72E-04	
35	0,999978567	0,999996185	3,43E-05	0,000128601	3,43E-05	
36	1	1	3,81E-06	2,14E-05	3,81E-06	5,731441E-01
